,total_cup_points,country_of_origin,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture,category_one_defects,category_two_defects,altitude,iso_code
584,81.92,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.58,7.5,9.33,10.0,10.0,7.58,0.1,0,1,1901.0,320
585,81.92,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.42,10.0,10.0,10.0,7.42,0.11,0,0,1219.2,320
586,81.92,Honduras,Caturra,Washed / Wet,7.58,7.5,7.25,7.33,7.42,7.5,10.0,10.0,10.0,7.33,0.12,0,1,1400.0,340
587,81.92,Brazil,Catuai,Natural / Dry,7.42,7.33,7.33,7.5,7.5,7.33,10.0,10.0,10.0,7.5,0.11,0,4,1020.0,76
588,81.92,El Salvador,Bourbon,Washed / Wet,7.67,7.58,7.33,7.5,7.5,7.67,10.0,10.0,9.33,7.33,0.11,0,2,1250.0,222
589,81.92,Guatemala,Catuai,Washed / Wet,7.58,7.58,7.17,7.83,7.17,7.33,10.0,10.0,10.0,7.25,0.11,0,7,1550.0,320
590,81.92,Tanzania,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.5,7.58,10.0,10.0,10.0,7.42,0.12,0,4,1877.0,834
591,81.92,Zambia,SL28,Washed / Wet,7.67,7.08,7.42,7.33,7.75,7.42,10.0,10.0,10.0,7.25,0.0,1,3,1250.0,894
592,81.92,Taiwan,Typica,Other,7.5,7.5,7.42,7.25,7.5,7.5,10.0,10.0,10.0,7.25,0.11,0,0,1000.0,158
593,81.92,Mexico,Bourbon,Washed / Wet,7.58,7.5,7.25,7.58,7.5,7.25,10.0,10.0,10.0,7.25,0.12,0,6,1300.0,484
594,81.92,Mexico,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.5,7.5,10.0,10.0,10.0,7.42,0.13,2,7,981.0,484
595,81.92,Mexico,Mundo Novo,Washed / Wet,7.5,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.58,0.14,2,8,690.0,484
596,81.92,Mexico,Other,Washed / Wet,7.33,7.58,7.17,7.58,7.42,7.33,10.0,10.0,10.0,7.5,0.12,0,4,1650.0,484
597,81.92,Mexico,Bourbon,Washed / Wet,7.67,7.42,7.33,7.83,7.5,7.5,9.33,10.0,10.0,7.33,0.12,0,0,1000.0,484
598,81.92,Brazil,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.5,7.33,7.5,10.0,10.0,10.0,7.33,0.12,0,3,1100.0,76
599,81.83,Guatemala,Bourbon,Washed / Wet,7.42,7.5,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.42,0.1,1,1,157.8864,320
600,81.83,Costa Rica,Catuai,Pulped natural / honey,7.25,7.33,7.5,7.33,7.67,7.42,10.0,10.0,10.0,7.33,0.0,1,4,1900.0,188
601,81.83,Brazil,Mundo Novo,Natural / Dry,7.42,7.5,7.42,7.5,7.42,7.25,10.0,10.0,10.0,7.33,0.11,0,3,973.0,76
602,81.83,Indonesia,Other,Other,7.75,7.83,7.58,7.75,7.92,7.83,10.0,10.0,10.0,5.17,0.11,0,0,1250.0,360
603,81.83,Guatemala,Bourbon,Washed / Wet,7.58,7.5,7.33,7.42,7.58,7.25,10.0,10.0,10.0,7.17,0.1,2,6,3280.0,320
604,81.83,Myanmar,Catuai,Washed / Wet,7.33,7.58,7.5,7.42,7.33,7.33,10.0,10.0,10.0,7.33,0.0,0,2,4001.0,104
605,81.83,Mexico,Catuai,Washed / Wet,7.58,7.5,7.33,7.5,7.17,7.33,10.0,10.0,10.0,7.42,0.11,0,7,1425.0,484
606,81.83,Honduras,Catuai,Washed / Wet,7.5,7.5,7.33,7.5,7.42,7.25,10.0,10.0,10.0,7.33,0.12,0,1,1400.0,340
607,81.83,Costa Rica,Caturra,Washed / Wet,7.67,7.5,7.5,7.25,7.08,7.42,10.0,10.0,10.0,7.42,0.09,0,0,1300.0,188
608,81.83,Taiwan,Typica,Washed / Wet,7.67,7.33,7.17,7.25,7.75,7.33,10.0,10.0,10.0,7.33,0.0,0,0,700.0,158
609,81.83,Indonesia,Typica,Other,7.42,7.42,7.42,7.33,7.42,7.42,10.0,10.0,10.0,7.42,0.11,2,6,1300.0,360
610,81.83,Malawi,Gesha,Washed / Wet,7.58,7.42,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.42,0.13,0,0,1556.0,454
611,81.83,Brazil,Bourbon,Natural / Dry,7.33,7.58,7.25,7.17,7.83,7.33,10.0,10.0,10.0,7.33,0.11,0,0,1100.0,76
612,81.83,Honduras,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.5,0.1,0,4,1350.0,340
613,81.83,Mexico,Typica,Washed / Wet,7.42,7.42,7.25,7.5,7.33,7.42,10.0,10.0,10.0,7.5,0.11,0,0,1550.0,484
614,81.83,Colombia,Caturra,Washed / Wet,7.5,7.5,7.0,7.42,7.5,7.58,10.0,10.0,10.0,7.33,0.0,2,0,1775.0,170
615,81.83,Brazil,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.5,7.42,7.83,7.75,9.33,9.33,9.33,7.83,0.12,0,0,1250.0,76
616,81.83,Guatemala,Bourbon,Washed / Wet,7.83,7.67,7.33,7.33,7.67,7.83,9.33,10.0,9.33,7.5,0.11,0,1,1310.64,320
617,81.83,Mexico,Bourbon,Washed / Wet,7.83,7.33,7.25,7.58,7.25,7.33,10.0,10.0,10.0,7.25,0.12,0,2,1500.0,484
618,81.83,Mexico,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.25,7.5,7.5,7.5,10.0,10.0,10.0,7.42,0.12,0,10,1250.0,484
619,81.75,Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,0.11,0,1,1700.0,320
620,81.75,Vietnam,Caturra,Washed / Wet,7.0,7.08,7.33,7.5,7.5,7.33,10.0,10.0,10.0,8.0,0.12,0,0,1040.0,704
621,81.75,Tanzania,Other,Washed / Wet,7.42,7.42,7.42,7.42,7.33,7.33,10.0,10.0,10.0,7.42,0.12,0,4,1600.0,834
622,81.75,Mexico,Bourbon,Washed / Wet,7.5,7.5,7.33,7.42,7.25,7.25,10.0,10.0,10.0,7.5,0.13,2,9,774.0,484
623,81.75,Mexico,Mundo Novo,Washed / Wet,7.42,7.5,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.25,0.13,0,23,1250.0,484
624,81.75,Mexico,Typica,Washed / Wet,7.42,7.5,7.33,7.58,7.33,7.33,10.0,10.0,10.0,7.25,0.11,0,1,1100.0,484
625,81.75,Mexico,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,7.42,7.25,10.0,10.0,10.0,7.33,0.12,10,14,1550.0,484
626,81.75,Mexico,Typica,Washed / Wet,7.5,7.42,7.25,7.33,7.67,7.25,10.0,10.0,10.0,7.33,0.12,0,1,1650.0,484
627,81.75,Colombia,Caturra,Washed / Wet,7.33,7.42,7.33,7.33,7.5,7.67,10.0,10.0,10.0,7.17,0.0,0,1,1750.0,170
628,81.67,Brazil,Bourbon,Natural / Dry,7.42,7.5,7.25,7.5,7.5,7.25,10.0,10.0,10.0,7.25,0.11,0,5,890.0,76
629,81.67,Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.08,7.42,7.33,7.42,10.0,10.0,10.0,7.58,0.1,0,1,1700.0,320
630,81.67,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.17,7.67,7.33,7.42,10.0,10.0,10.0,7.33,0.12,0,3,1219.2,320
631,81.67,Honduras,Catuai,Washed / Wet,7.58,7.5,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,0.11,0,2,1450.0,340
632,81.67,Tanzania,Other,Washed / Wet,7.42,7.33,7.25,7.42,7.5,7.42,10.0,10.0,10.0,7.33,0.12,0,0,1500.0,834
633,81.67,Tanzania,Other,Washed / Wet,7.33,7.33,7.5,7.25,7.42,7.33,10.0,10.0,10.0,7.5,0.12,0,7,1700.0,834
634,81.67,Brazil,Bourbon,Washed / Wet,7.25,7.42,7.25,7.5,7.5,7.42,10.0,10.0,10.0,7.33,0.1,0,2,1260.0,76
635,81.67,Honduras,Caturra,Natural / Dry,7.5,7.33,7.5,7.5,7.17,7.17,10.0,10.0,10.0,7.5,0.1,0,5,1400.0,340
636,81.67,Costa Rica,Caturra,Washed / Wet,7.5,7.17,7.17,7.17,7.5,7.08,10.0,10.0,10.0,8.08,0.11,0,3,1850.0,188
637,81.67,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.5,7.25,7.42,7.25,10.0,10.0,10.0,7.25,0.11,0,0,150.0,158
638,81.67,Taiwan,Typica,Washed / Wet,7.58,7.42,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.25,0.11,0,0,750.0,158
639,81.67,Mexico,Typica,Washed / Wet,7.5,7.42,7.08,7.58,7.33,7.33,10.0,10.0,10.0,7.42,0.12,0,6,1400.0,484
640,81.67,Guatemala,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.17,0.11,0,4,1752.6,320
641,81.67,Mexico,Typica,Washed / Wet,7.25,7.67,7.58,7.67,7.67,7.58,8.67,10.0,10.0,7.58,0.13,1,13,1650.0,484
642,81.67,Mexico,Bourbon,Washed / Wet,7.67,7.25,7.17,7.75,7.5,7.25,10.0,10.0,10.0,7.08,0.11,0,4,1400.0,484
643,81.67,Mexico,Bourbon,Washed / Wet,7.5,7.42,7.33,7.42,7.42,7.42,10.0,10.0,10.0,7.17,0.11,0,2,1200.0,484
644,81.67,Mexico,Bourbon,Washed / Wet,7.58,7.42,7.25,7.58,7.25,7.17,10.0,10.0,10.0,7.42,0.11,0,2,1400.0,484
645,81.67,Mexico,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.25,7.17,7.58,7.33,9.33,10.0,10.0,7.67,0.11,0,4,940.0,484
646,81.58,Honduras,Catimor,Washed / Wet,7.5,7.42,7.08,7.42,7.5,7.33,10.0,10.0,10.0,7.33,0.11,0,3,1200.0,340
647,81.58,Taiwan,Typica,Washed / Wet,7.42,7.42,7.25,7.67,7.33,7.25,10.0,10.0,10.0,7.25,0.1,0,0,800.0,158
648,81.58,Costa Rica,Caturra,Washed / Wet,7.58,7.42,7.5,7.17,7.08,7.58,10.0,10.0,10.0,7.25,0.12,0,1,13.0,188
649,81.58,Tanzania,Other,Washed / Wet,7.42,7.42,7.33,7.42,7.42,7.33,10.0,10.0,10.0,7.25,0.12,0,5,1800.0,834
650,81.58,Malawi,Gesha,Washed / Wet,7.42,7.42,7.17,7.58,7.33,7.33,10.0,10.0,10.0,7.33,0.13,0,0,1100.0,454
651,81.58,Taiwan,Typica,Semi-washed / Semi-pulped,7.33,7.17,7.08,7.08,8.33,8.25,10.0,10.0,9.33,7.0,0.0,0,0,850.0,158
652,81.58,Brazil,Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.25,10.0,10.0,10.0,7.33,0.12,0,3,1260.0,76
653,81.58,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.17,7.58,7.42,7.5,10.0,10.0,10.0,7.17,0.12,0,1,1310.64,320
654,81.58,Mexico,Typica,Washed / Wet,7.67,7.5,7.42,7.5,6.75,7.42,10.0,10.0,10.0,7.33,0.12,0,9,1400.0,484
655,81.58,Mexico,Marigojipe,Natural / Dry,7.33,7.5,7.25,7.5,7.5,7.17,10.0,10.0,10.0,7.33,0.11,0,0,1600.0,484
656,81.58,Mexico,Typica,Natural / Dry,7.67,7.58,7.42,7.58,7.58,7.42,10.0,10.0,8.67,7.67,0.11,0,2,1650.0,484
657,81.5,Guatemala,Bourbon,Washed / Wet,7.67,7.58,7.17,7.42,7.33,7.42,9.33,10.0,10.0,7.58,0.1,0,0,1219.2,320
658,81.5,Nicaragua,Caturra,Other,7.5,7.42,7.33,7.33,7.25,7.33,10.0,10.0,10.0,7.33,0.11,0,3,1100.0,558
659,81.5,Honduras,Caturra,Washed / Wet,7.5,7.5,7.33,7.42,7.17,7.25,10.0,10.0,10.0,7.33,0.1,0,5,1400.0,340
660,81.5,Taiwan,Typica,Natural / Dry,7.5,7.42,7.33,7.08,7.58,7.25,10.0,10.0,10.0,7.33,0.12,0,2,180.0,158
661,81.5,Myanmar,Catuai,Washed / Wet,7.25,7.42,7.25,7.5,7.33,7.33,10.0,10.0,10.0,7.42,0.0,0,4,1219.2,104
662,81.5,Costa Rica,Caturra,Washed / Wet,7.83,7.33,7.08,7.08,7.33,7.5,10.0,10.0,10.0,7.33,0.12,1,2,1200.0,188
663,81.5,Malawi,Gesha,Washed / Wet,7.67,7.42,6.92,7.5,7.5,7.17,10.0,10.0,10.0,7.33,0.12,0,0,1599.0,454
664,81.5,Guatemala,Other,Washed / Wet,7.5,7.42,7.17,7.58,7.25,7.42,10.0,10.0,10.0,7.17,0.12,0,0,1219.2,320
665,81.5,Taiwan,Typica,Washed / Wet,7.42,7.33,7.67,7.33,7.42,7.5,10.0,10.0,9.33,7.5,0.11,0,0,900.0,158
666,81.5,Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.58,7.5,7.5,7.67,7.67,7.83,9.33,9.33,9.33,7.75,0.0,1,1,1200.0,76
667,81.5,Haiti,Blue Mountain,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.33,10.0,10.0,10.0,7.33,0.11,0,0,825.0,332
668,81.5,Taiwan,Typica,Other,7.5,7.42,7.25,7.25,7.33,7.33,10.0,10.0,10.0,7.42,0.11,0,0,600.0,158
669,81.5,Mexico,Typica,Washed / Wet,7.33,7.33,7.17,7.42,7.5,7.5,10.0,10.0,10.0,7.25,0.13,0,2,1150.0,484
670,81.5,Mexico,Typica,Washed / Wet,7.58,7.42,7.25,7.42,7.33,7.33,10.0,10.0,10.0,7.17,0.12,0,5,1600.0,484
671,81.5,Mexico,Catuai,Washed / Wet,7.42,7.25,7.17,7.42,7.17,8.0,10.0,10.0,10.0,7.08,0.12,0,10,1100.0,484
672,81.5,Mexico,Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.25,0.11,0,6,1000.0,484
673,81.5,Mexico,Bourbon,Washed / Wet,7.42,7.42,7.33,7.17,7.25,7.42,10.0,10.0,10.0,7.5,0.13,0,5,1250.0,484
674,81.5,Mexico,Typica,Natural / Dry,7.5,7.5,7.25,7.5,7.42,7.58,9.33,10.0,10.0,7.42,0.11,0,3,1100.0,484
675,81.5,Indonesia,Other,Washed / Wet,7.75,7.17,7.17,7.33,7.58,7.33,10.0,10.0,10.0,7.17,0.12,0,0,1400.0,360
676,81.5,Brazil,Bourbon,Semi-washed / Semi-pulped,7.5,7.42,7.17,7.42,7.5,7.33,10.0,10.0,10.0,7.17,0.12,0,2,125.0,76
677,81.42,Mexico,Mundo Novo,Washed / Wet,7.58,7.33,7.08,7.33,7.5,7.33,10.0,10.0,10.0,7.25,0.12,1,17,1100.0,484
678,81.42,Guatemala,Catuai,Washed / Wet,7.42,7.33,7.08,7.58,7.33,7.25,10.0,10.0,10.0,7.42,0.1,0,0,1371.6,320
679,81.42,Brazil,Catuai,Natural / Dry,7.33,7.5,7.5,7.33,6.83,7.42,10.0,10.0,10.0,7.5,0.11,0,2,1100.0,76
680,81.42,Honduras,Catuai,Washed / Wet,7.5,7.33,7.17,7.25,7.5,7.42,10.0,10.0,10.0,7.25,0.12,0,1,1400.0,340
681,81.42,Taiwan,Typica,Washed / Wet,7.83,7.75,7.42,7.17,7.08,7.08,10.0,10.0,10.0,7.08,0.12,0,0,110.0,158
682,81.42,Malawi,Gesha,Washed / Wet,7.58,7.17,7.33,7.42,7.08,7.42,10.0,10.0,10.0,7.42,0.12,0,0,1422.0,454
683,81.42,Brazil,Bourbon,Natural / Dry,7.25,7.5,7.42,7.17,7.33,7.33,10.0,10.0,10.0,7.42,0.0,0,0,1100.0,76
684,81.42,Guatemala,Bourbon,Washed / Wet,7.42,7.5,7.17,7.42,7.42,7.42,10.0,10.0,10.0,7.08,0.1,0,6,1550.0,320
685,81.42,Mexico,Typica,Washed / Wet,7.67,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.33,0.0,1,1,1550.0,484
686,81.42,Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.25,7.42,7.42,7.5,10.0,10.0,10.0,7.08,0.12,0,4,1310.64,320
687,81.42,Mexico,Caturra,Washed / Wet,7.42,7.33,7.25,7.17,7.25,7.42,10.0,10.0,10.0,7.58,0.13,1,8,763.0,484
688,81.42,Mexico,Typica,Washed / Wet,7.42,7.42,7.25,7.25,7.5,7.33,10.0,10.0,10.0,7.25,0.13,0,1,1100.0,484
689,81.42,Colombia,Caturra,Natural / Dry,7.5,7.42,7.25,7.17,7.17,7.75,10.0,10.0,10.0,7.17,0.11,0,0,1750.0,170
690,81.33,Honduras,Caturra,Washed / Wet,7.5,7.5,7.0,7.17,7.5,7.33,10.0,10.0,10.0,7.33,0.11,0,3,1500.0,340
691,81.33,Brazil,Catuai,Natural / Dry,7.25,7.33,7.33,7.33,7.33,7.42,10.0,10.0,10.0,7.33,0.11,0,14,1100.0,76
692,81.33,Honduras,Catuai,Washed / Wet,7.58,7.42,7.17,7.42,7.17,7.17,10.0,10.0,10.0,7.42,0.09,0,4,1350.0,340
693,81.33,Brazil,Yellow Bourbon,Other,7.17,7.33,7.42,7.25,7.42,7.33,10.0,10.0,10.0,7.42,0.12,0,6,1200.0,76
694,81.33,Philippines,Other,Washed / Wet,7.08,7.33,7.42,7.33,7.33,7.5,10.0,10.0,10.0,7.33,0.14,0,3,1400.0,608
695,81.33,Malawi,Gesha,Washed / Wet,7.75,7.33,7.08,7.33,7.33,7.25,10.0,10.0,10.0,7.25,0.13,0,1,1200.0,454
696,81.33,Honduras,Catuai,Washed / Wet,7.33,7.33,7.17,7.33,7.5,7.33,10.0,10.0,10.0,7.33,0.12,0,3,1450.0,340
697,81.33,Mexico,Typica,Washed / Wet,7.58,7.42,7.25,7.33,7.25,7.25,10.0,10.0,10.0,7.25,0.13,4,13,1800.0,484
698,81.33,Mexico,Typica,Washed / Wet,7.33,7.25,7.17,7.42,7.58,7.33,10.0,10.0,10.0,7.25,0.12,0,4,1000.0,484
699,81.25,Taiwan,Typica,Natural / Dry,7.83,7.75,7.67,7.83,7.83,7.75,9.33,10.0,10.0,5.25,0.12,0,0,680.0,158
700,81.25,Nicaragua,Catuai,Washed / Wet,7.08,7.5,7.33,7.17,7.42,7.25,10.0,10.0,10.0,7.5,0.1,0,4,1100.0,558
701,81.25,Honduras,Catuai,Washed / Wet,7.42,7.17,7.17,7.5,7.33,7.25,10.0,10.0,10.0,7.42,0.12,0,1,1400.0,340
702,81.25,Guatemala,Pacamara,Washed / Wet,7.33,7.42,7.17,7.25,7.42,7.33,10.0,10.0,10.0,7.33,0.09,0,2,1700.0,320
703,81.25,Tanzania,Other,Washed / Wet,7.33,7.17,7.17,7.5,7.25,7.42,10.0,10.0,10.0,7.42,0.13,0,5,1700.0,834
704,81.25,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,7.25,7.25,10.0,10.0,10.0,7.25,0.11,0,0,650.0,158
705,81.25,Guatemala,Caturra,Washed / Wet,7.5,7.33,7.5,7.58,7.0,7.25,10.0,10.0,10.0,7.08,0.11,0,4,1524.0,320
706,81.25,Mexico,Typica,Washed / Wet,7.42,7.42,7.33,7.33,7.5,7.42,9.33,10.0,10.0,7.5,0.12,0,1,1500.0,484
707,81.17,Tanzania,Bourbon,Washed / Wet,7.67,7.17,7.17,7.33,7.5,7.17,10.0,10.0,10.0,7.17,0.12,0,2,1050.0,834
708,81.17,Mexico,Caturra,Washed / Wet,7.75,7.58,7.08,7.25,7.08,7.25,10.0,10.0,10.0,7.17,0.12,0,10,1200.0,484
709,81.17,Costa Rica,Caturra,Washed / Wet,7.5,7.5,7.33,7.17,7.08,7.17,10.0,10.0,10.0,7.42,0.11,0,0,1300.0,188
710,81.17,Honduras,Catuai,Natural / Dry,7.42,7.33,7.0,7.42,7.33,7.33,10.0,10.0,10.0,7.33,0.13,0,1,1450.0,340
711,81.17,Thailand,Caturra,Washed / Wet,6.83,7.42,7.42,7.17,7.5,7.42,10.0,10.0,10.0,7.42,0.12,0,0,1450.0,764
712,81.17,Philippines,Typica,Natural / Dry,7.25,7.25,7.25,7.08,7.58,7.5,10.0,10.0,10.0,7.25,0.0,0,4,1200.0,608
713,81.17,Tanzania,Bourbon,Washed / Wet,7.58,7.17,7.17,7.33,7.33,7.25,10.0,10.0,10.0,7.33,0.12,0,2,1550.0,834
714,81.17,Malawi,Caturra,Washed / Wet,7.58,7.25,7.33,7.08,7.33,7.33,10.0,10.0,10.0,7.25,0.12,0,12,995.0,454
715,81.17,Costa Rica,Catuai,Washed / Wet,7.33,7.08,7.33,7.25,7.33,7.58,10.0,10.0,10.0,7.25,0.11,0,3,1300.0,188
716,81.17,Mexico,Typica,Natural / Dry,7.42,7.25,7.08,7.75,7.42,7.17,10.0,10.0,10.0,7.08,0.13,3,7,1800.0,484
717,81.17,Guatemala,Caturra,Washed / Wet,7.42,7.25,7.33,7.25,7.25,7.42,10.0,10.0,10.0,7.25,0.12,0,4,1450.0,320
718,81.17,Brazil,Mundo Novo,Natural / Dry,7.42,7.33,7.25,7.42,7.5,7.17,10.0,10.0,10.0,7.08,0.12,0,1,1000.0,76
719,81.08,Brazil,Mundo Novo,Natural / Dry,7.58,7.42,7.5,7.25,7.75,7.58,9.33,10.0,9.33,7.33,0.11,5,8,695.0,76
720,81.08,Nicaragua,Other,Washed / Wet,7.33,7.33,7.33,7.42,7.33,7.33,10.0,10.0,10.0,7.0,0.11,0,1,1100.0,558
721,81.08,United States,Pache Comun,Natural / Dry,7.42,7.17,7.33,7.42,7.25,7.33,10.0,10.0,10.0,7.17,0.0,0,0,1706.88,840
722,81.08,Tanzania,Other,Washed / Wet,7.42,7.33,7.33,7.25,7.25,7.33,10.0,10.0,10.0,7.17,0.13,0,2,1456.0,834
723,81.08,Costa Rica,Caturra,Washed / Wet,7.42,7.25,7.17,7.25,7.25,7.58,10.0,10.0,10.0,7.17,0.13,0,0,1500.0,188
724,81.08,United States,Other,Washed / Wet,7.67,7.75,7.67,7.58,7.58,7.67,6.67,10.0,10.0,8.5,0.0,0,0,853.44,840
725,81.08,Mexico,Typica,Washed / Wet,7.25,7.42,7.33,7.33,7.17,7.33,10.0,10.0,10.0,7.25,0.13,5,16,1650.0,484
726,81.08,Mexico,Typica,Washed / Wet,7.33,7.25,7.33,7.42,7.25,7.42,10.0,10.0,10.0,7.08,0.12,0,2,1300.0,484
727,81.08,Mexico,Typica,Washed / Wet,7.33,7.33,7.25,7.42,7.25,7.25,10.0,10.0,10.0,7.25,0.11,0,5,1642.0,484
728,81.08,Mexico,Typica,Washed / Wet,7.42,7.33,7.25,7.42,7.17,7.25,10.0,10.0,10.0,7.25,0.1,0,1,1200.0,484
729,81.0,El Salvador,Bourbon,Washed / Wet,7.42,7.08,7.08,7.33,7.25,7.58,10.0,10.0,10.0,7.25,0.0,0,6,1450.0,222
730,81.0,Guatemala,Bourbon,Washed / Wet,7.42,7.25,7.17,7.5,7.25,7.17,10.0,10.0,10.0,7.25,0.09,0,8,3280.0,320
731,81.0,Colombia,Caturra,Washed / Wet,7.67,7.5,7.42,5.25,7.67,7.75,10.0,10.0,10.0,7.75,0.0,0,4,1600.0,170
732,81.0,Guatemala,Bourbon,Washed / Wet,7.5,7.25,7.0,7.25,7.5,7.25,10.0,10.0,10.0,7.25,0.11,0,1,1219.2,320
733,81.0,Taiwan,Typica,Washed / Wet,7.25,7.17,7.17,7.25,7.5,7.33,10.0,10.0,10.0,7.33,0.12,0,0,758.0,158
734,81.0,Honduras,Caturra,Natural / Dry,7.42,7.25,7.25,7.33,7.25,7.17,10.0,10.0,10.0,7.33,0.12,0,1,1350.0,340
735,81.0,Tanzania,Other,Washed / Wet,7.33,7.33,7.08,7.42,7.17,7.33,10.0,10.0,10.0,7.33,0.12,0,5,1525.0,834
736,81.0,Uganda,SL14,Natural / Dry,7.33,6.92,7.17,7.33,7.42,7.42,10.0,10.0,10.0,7.42,0.12,0,3,1700.0,800
737,81.0,Taiwan,Typica,Semi-washed / Semi-pulped,7.5,6.92,7.33,7.33,7.33,7.33,10.0,10.0,10.0,7.25,0.11,0,0,1100.0,158
738,81.0,Mexico,Other,Washed / Wet,7.08,7.33,7.33,7.33,7.42,7.25,10.0,10.0,10.0,7.25,0.12,0,12,950.0,484
739,81.0,Mexico,Typica,Washed / Wet,7.58,7.67,7.5,7.67,7.58,7.5,8.0,10.0,10.0,7.5,0.0,0,8,1100.0,484
740,80.92,Taiwan,Other,Washed / Wet,7.33,7.17,7.25,7.33,7.33,7.25,10.0,10.0,10.0,7.25,0.0,0,0,200.0,158
741,80.92,Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.33,7.58,7.67,7.5,9.33,9.33,9.33,7.5,0.1,0,2,1901.0,320
742,80.92,Kenya,SL28,Washed / Wet,7.17,7.58,7.5,7.5,8.0,7.75,10.0,10.0,10.0,5.42,0.11,0,3,1600.0,404
743,80.92,Mexico,Bourbon,Washed / Wet,7.5,7.33,7.17,7.42,7.5,7.33,9.33,10.0,10.0,7.33,0.11,0,11,1100.0,484
744,80.92,Myanmar,Other,Other,7.17,7.42,7.0,7.58,7.33,7.0,10.0,10.0,10.0,7.42,0.0,0,5,1066.8,104
745,80.92,Tanzania,Other,Washed / Wet,7.33,7.17,7.17,7.25,7.42,7.33,10.0,10.0,10.0,7.25,0.12,0,0,1700.0,834
746,80.92,Brazil,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.25,7.25,7.33,10.0,10.0,10.0,7.25,0.12,0,8,1200.0,76
747,80.92,Taiwan,Typica,Washed / Wet,7.92,7.67,7.33,7.08,7.08,7.08,10.0,10.0,10.0,6.75,0.09,0,0,550.0,158
748,80.92,Brazil,Bourbon,Natural / Dry,7.17,7.42,7.17,7.25,7.25,7.33,10.0,10.0,10.0,7.33,0.1,0,0,1100.0,76
749,80.92,Nicaragua,Caturra,Washed / Wet,7.33,7.08,7.25,7.0,7.5,7.42,10.0,10.0,10.0,7.33,0.1,1,3,1050.0,558
750,80.92,Guatemala,Pacas,Washed / Wet,7.58,7.42,6.92,7.5,7.25,7.17,10.0,10.0,10.0,7.08,0.12,2,5,1524.0,320
751,80.92,Taiwan,Typica,Washed / Wet,7.42,7.25,7.25,7.25,7.25,7.25,10.0,10.0,10.0,7.25,0.11,0,0,900.0,158
752,80.92,Taiwan,Typica,Other,7.25,7.17,7.08,7.08,7.08,8.08,10.0,10.0,10.0,7.17,0.11,0,0,688.0,158
753,80.92,Taiwan,Typica,Washed / Wet,7.42,7.25,7.25,7.25,7.25,7.25,10.0,10.0,10.0,7.25,0.11,0,0,300.0,158
754,80.92,Mexico,Typica,Washed / Wet,7.58,7.33,7.08,7.5,7.17,7.25,10.0,10.0,10.0,7.0,0.13,0,12,1186.0,484
755,80.83,Laos,Catimor,Washed / Wet,7.42,7.33,7.17,7.17,7.17,7.25,10.0,10.0,10.0,7.33,0.0,0,0,1300.0,418
756,80.83,Guatemala,Caturra,Washed / Wet,7.67,7.25,7.08,7.33,7.17,7.25,10.0,10.0,10.0,7.08,0.11,0,1,1200.0,320
757,80.83,Mexico,Catuai,Semi-washed / Semi-pulped,7.17,7.08,7.25,7.42,7.25,7.33,10.0,10.0,10.0,7.33,0.13,0,7,1210.0,484
